epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.97,1.32079,3.3547,2.26113,1.52569,0.58583,0.39135,0.41203,0.23145,0.57788,0.37484,0.39697,0.21353,1.34188,2.69336,1.76691,1.43475,0.00023637,0.00023637,0.00023637
2,225.352,1.23461,2.86193,1.62073,1.44873,0.57509,0.41183,0.44711,0.27561,0.55377,0.42362,0.42662,0.22725,1.36154,2.84153,1.68823,1.47861,0.000469674,0.000469674,0.000469674
3,331.298,1.25564,2.83867,1.56314,1.46607,0.40005,0.45,0.44648,0.27193,0.48781,0.39323,0.42356,0.20547,1.30642,2.93764,1.80795,1.41982,0.000698265,0.000698265,0.000698265
4,435.597,1.23232,2.7598,1.52798,1.45084,0.55096,0.50321,0.43994,0.25794,0.54596,0.49525,0.41981,0.22669,1.37111,2.49404,1.8411,1.47799,0.000692794,0.000692794,0.000692794
5,540.205,1.19248,2.67885,1.44039,1.42824,0.62579,0.54699,0.55813,0.35576,0.64987,0.52811,0.53692,0.30664,1.19624,2.44792,1.32773,1.33458,0.000685726,0.000685726,0.000685726
6,647.358,1.15487,2.58108,1.37715,1.40074,0.67902,0.50017,0.59362,0.39943,0.69809,0.51414,0.5978,0.35386,1.1001,2.17085,1.28579,1.25919,0.000678657,0.000678657,0.000678657
7,753.358,1.13559,2.50195,1.31965,1.38034,0.68622,0.56164,0.60441,0.39231,0.71917,0.54605,0.60994,0.36276,1.09877,2.14905,1.2043,1.2449,0.000671588,0.000671588,0.000671588
8,857.009,1.11777,2.42539,1.26332,1.37052,0.71691,0.58117,0.6247,0.41599,0.71311,0.579,0.60645,0.35875,1.10347,2.16389,1.19041,1.24307,0.00066452,0.00066452,0.00066452
9,961.883,1.10387,2.36312,1.23945,1.35713,0.7439,0.59235,0.66497,0.45436,0.75908,0.59935,0.6766,0.41423,1.05473,1.95491,1.08106,1.23345,0.000657451,0.000657451,0.000657451
10,1068.1,1.09784,2.30584,1.21252,1.35151,0.7421,0.58867,0.66979,0.45544,0.74011,0.59543,0.67235,0.40774,1.03432,2.00041,1.09798,1.18172,0.000650383,0.000650383,0.000650383
11,1172.76,1.07467,2.26164,1.17561,1.34076,0.70125,0.62181,0.63939,0.43242,0.69888,0.61777,0.62316,0.37772,1.06334,2.08185,1.04782,1.21331,0.000643314,0.000643314,0.000643314
12,1282.48,1.06245,2.24371,1.14145,1.33097,0.59454,0.67658,0.63708,0.44541,0.59142,0.67582,0.63053,0.39494,1.02574,1.94314,1.02224,1.17893,0.000636245,0.000636245,0.000636245
13,1386.56,1.04188,2.19809,1.12685,1.31849,0.7164,0.63296,0.66316,0.45963,0.72046,0.62125,0.63446,0.4086,0.99523,1.81489,1.02339,1.15233,0.000629177,0.000629177,0.000629177
14,1489.94,1.029,2.16188,1.10184,1.31583,0.7234,0.63717,0.68372,0.48967,0.72575,0.63487,0.67738,0.43277,0.96207,1.78471,0.99707,1.1322,0.000622108,0.000622108,0.000622108
15,1598.19,1.022,2.13519,1.08614,1.29866,0.66541,0.6756,0.67446,0.48597,0.66048,0.66276,0.65148,0.4082,0.95652,1.87203,0.93069,1.1156,0.00061504,0.00061504,0.00061504
16,1705.04,1.01623,2.09108,1.063,1.2978,0.71713,0.70742,0.7321,0.49955,0.69837,0.69808,0.70832,0.44814,0.9922,1.74607,0.93759,1.14294,0.000607971,0.000607971,0.000607971
17,1811.02,1.00584,2.0865,1.04737,1.28955,0.78121,0.63974,0.70142,0.49683,0.77731,0.63589,0.68898,0.43229,1.01486,1.80837,0.95569,1.17327,0.000600902,0.000600902,0.000600902
18,1914.81,0.99718,2.08645,1.03266,1.29144,0.66751,0.69824,0.71519,0.51432,0.68228,0.68148,0.70023,0.44269,0.91911,1.73931,0.89641,1.09614,0.000593834,0.000593834,0.000593834
19,2023.14,0.99183,2.02213,1.02254,1.28252,0.68199,0.6726,0.68457,0.49922,0.68372,0.66764,0.68094,0.44267,0.92859,1.74081,0.89931,1.11272,0.000586765,0.000586765,0.000586765
20,2132.04,0.96159,2.01589,0.99512,1.26864,0.75834,0.64452,0.67192,0.47502,0.75647,0.64214,0.65897,0.42238,0.9645,1.79775,0.91958,1.13413,0.000579697,0.000579697,0.000579697
21,2240.99,0.97686,2.0073,0.99393,1.2683,0.80158,0.62657,0.71215,0.50309,0.79709,0.62437,0.69831,0.46102,0.91139,1.73222,0.87459,1.10456,0.000572628,0.000572628,0.000572628
22,2350.36,0.95969,1.94986,0.97943,1.25597,0.63611,0.66665,0.69724,0.50381,0.66687,0.68423,0.70601,0.45274,0.91376,1.69547,0.87558,1.12172,0.000565559,0.000565559,0.000565559
23,2455.82,0.9707,1.98059,0.97451,1.27282,0.80262,0.62683,0.7106,0.4992,0.81084,0.6359,0.70908,0.45818,0.90107,1.72679,0.87806,1.11128,0.000558491,0.000558491,0.000558491
24,2562.42,0.94323,1.94078,0.94894,1.25288,0.78609,0.62581,0.7109,0.51317,0.79361,0.63142,0.70483,0.46974,0.87686,1.67135,0.85423,1.07981,0.000551422,0.000551422,0.000551422
25,2669.59,0.9322,1.9082,0.93672,1.24138,0.73505,0.68053,0.69935,0.49529,0.74869,0.66333,0.68508,0.44942,0.91573,1.6876,0.8922,1.11289,0.000544354,0.000544354,0.000544354
26,2777.18,0.93133,1.89107,0.92316,1.23838,0.77634,0.66681,0.71921,0.52129,0.7831,0.66997,0.71376,0.45826,0.87897,1.66327,0.84664,1.08129,0.000537285,0.000537285,0.000537285
27,2884.16,0.94123,1.90898,0.93128,1.25112,0.77741,0.67566,0.73261,0.52453,0.79688,0.64898,0.71259,0.46906,0.88808,1.6522,0.83606,1.08647,0.000530216,0.000530216,0.000530216
28,2992.1,0.93732,1.87288,0.9093,1.23706,0.78114,0.64737,0.70309,0.50995,0.79011,0.64815,0.70134,0.46823,0.86292,1.641,0.83201,1.06909,0.000523148,0.000523148,0.000523148
29,3097.9,0.92231,1.84126,0.90228,1.24101,0.78344,0.65017,0.68922,0.50506,0.78423,0.64988,0.68546,0.45241,0.8764,1.63248,0.84209,1.08319,0.000516079,0.000516079,0.000516079
30,3205.16,0.92202,1.85046,0.893,1.22653,0.76485,0.65611,0.6934,0.51359,0.77509,0.65289,0.67846,0.45786,0.87296,1.67297,0.82862,1.0762,0.000509011,0.000509011,0.000509011
31,3313.44,0.91922,1.8391,0.89626,1.22892,0.79913,0.63488,0.73029,0.52327,0.82085,0.62171,0.72377,0.49096,0.87064,1.62867,0.83529,1.07585,0.000501942,0.000501942,0.000501942
32,3421.83,0.90863,1.81906,0.87726,1.21505,0.70668,0.6473,0.71292,0.52544,0.70529,0.64597,0.69429,0.47102,0.8501,1.65935,0.80005,1.05243,0.000494873,0.000494873,0.000494873
